State_Name,State Cde,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,talwandi jattan,8649,31.709851,75.768368,Talwandi Jattan,2,818
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,tappa,8650,31.730004,75.923359,Tappa,2,5248
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,thana,8651,31.780752,75.872639,Thana,2,899
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,thinda,8652,31.741337,75.716333,Thinda,2,1240
PUNJAB,3,HOSHIARPUR,38,BHUNGA,267,thund,8653,31.760917,75.756751,Thund,2,615
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,abadi khole safdarpur,250213,31.787986,75.591742,ABADI KHOLE SAFDARPUR,2,1955
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,abadi kulian safdarpur,250212,31.788956,75.603328,ABADI KULIAN SAFDARPUR,2,1955
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,abadi mahesra safdarpur,250211,31.779764,75.589408,ABADI MAHESRA SAFDARPUR,2,1955
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,adochak,8654,31.829769,75.803547,ADOCHAK,2,253
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,aglaur,8655,31.836864,75.797436,AGLAUR,2,1986
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,alampur,8656,31.745803,75.587447,ALAMPUR,2,1476
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,ashrafpur,8657,31.813989,75.641875,ASHRAFPUR,2,327
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,badla,8658,31.888533,75.768689,BADLA,2,2849
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,baja chak,8659,31.871269,75.619361,BAJA CHAK,2,1007
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bala,8660,31.816208,75.627789,BALA,2,229
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,ballagan,8661,31.812314,75.679858,BALLAGAN,2,2066
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bangalipur,8662,31.810936,75.696736,BANGALIPUR,2,654
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,banial,8663,31.843939,75.719544,BANIAL,2,676
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,basoa,8664,31.749456,75.593314,BASOA,2,468
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,basti budhu barkat,8665,31.812153,75.610097,BASTI BUDHU BARKAT,2,60
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,basti makhowal,8666,31.874872,75.715919,BASTI MAKHOWAL,2,56
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,basti nawan terkiana,8667,31.866078,75.606736,BASTI NAWAN TERKIANA,2,56
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,basti vadhian,8668,31.877244,75.592025,BASTI VADHIAN,2,321
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,begpur,8669,31.839669,75.589094,BEGPUR,2,223
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,behbowal,8670,31.888761,75.719039,BEHBOWAL,2,1772
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,berchha,8671,31.776478,75.674392,BERCHHA,2,545
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bhatoli,8672,31.820244,75.756172,BHATOLI,2,142
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bhatti da pind,250210,31.830294,75.662978,BHATTI DA PIND,2,307
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bhuchhan,8673,31.777617,75.595636,BHUCHHAN,2,578
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bisso chak,8674,31.868708,75.742997,BISSO CHAK,2,816
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bodal,8675,31.780153,75.669022,BODAL,2,2928
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,bodal chauni,8676,31.776042,75.671961,BODAL CHAUNI,2,2928
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chak bamu,8677,31.758861,75.591203,CHAK BAMU,2,1814
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chak mehra,8678,31.828792,75.684742,CHAK MEHRA,2,1847
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chak phala,8679,31.874542,75.771822,CHAK PHALA,2,136
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chak qasim,8680,31.848639,75.652875,CHAK QASIM,2,456
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chak suleman,8681,31.766375,75.578908,CHAK SULEMAN,2,156
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chanauta,8682,31.761025,75.626042,CHANAUTA,2,416
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chandidass,8683,31.8288,75.697833,CHANDIDASS,2,418
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chhangial,8686,31.827881,75.810831,CHHANGIAL,2,320
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chhangla,8684,31.825003,75.632969,CHHANGLA,2,1787
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,chhawrian,8685,31.808597,75.721939,CHHAWRIAN,2,284
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,dadial,8687,31.851214,75.794444,DADIAL,2,1199
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,dhadar,8688,31.874619,75.714578,DHADAR,2,1524
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,dholia,250214,31.889906,75.751853,DHOLIA,2,345
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,dolmiwal,8689,31.831236,75.752297,DOLMIWAL,2,1004
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,dugal dawakhri,8690,31.763725,75.676419,DUGAL DAWAKHRI,2,2500
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,dugri,8691,31.788956,75.641253,DUGRI,2,663
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,fateh ullapur,8692,31.816806,75.645775,FATEH ULLAPUR,2,1665
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,fatehgarh,8693,31.867144,75.662825,FATEHGARH,2,607
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,fattan chak,8694,31.835683,75.684211,FATTAN CHAK,2,1425
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,gag jallo,8695,31.868414,75.729206,GAG JALLO,2,630
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,gag sultan,8696,31.862294,75.678386,GAG SULTAN,2,762
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,galowal,8697,31.807756,75.587558,GALOWAL,2,646
PUNJAB,3,HOSHIARPUR,38,DASUYA,268,gambowal,8699,31.758119,75.66115,GAMBOWAL,2,1152
