State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,population
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kardal,194626,19.58159,72.81858, KARDAL,2,1971
MAHARASHTRA,27, THANE,517, PALGHAR,4596,karwale,194627,19.5582,72.84834, KARWALE,2,1489
MAHARASHTRA,27, THANE,517, PALGHAR,4596,katale,194628,19.72866,72.8563, KATALE,2,1241
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kelwa,194629,19.60358,72.73437, KELWA,2,1403
MAHARASHTRA,27, THANE,517, PALGHAR,4596,khadkoli,241501,19.67102,72.84689, KHADKOLI,2,2126
MAHARASHTRA,27, THANE,517, PALGHAR,4596,khaire group,194631,19.61625,72.92419, KHAIRE GROUP,2,31699
MAHARASHTRA,27, THANE,517, PALGHAR,4596,khairepada,194630,19.78461,72.76262, KHAIREPADA,2,306
MAHARASHTRA,27, THANE,517, PALGHAR,4596,khamloli,194632,19.66203,72.87854, KHAMLOLI,2,1534
MAHARASHTRA,27, THANE,517, PALGHAR,4596,khaniwad,194633,19.83253,72.82786, KHANIWAD,2,966
MAHARASHTRA,27, THANE,517, PALGHAR,4596,khardi,194634,19.52495,72.76463, KHARDI,2,5579
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kharekuran,194635,19.73704,72.71864, KHAREKHURAN,2,645
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kirat,194638,19.79808,72.84725, KIRAT,2,1717
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kokner,194639,19.70946,72.8455, KOKNER,2,1166
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kolgaon,194640,19.73535,72.76197, KOLGAON,2,1672
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kolwade,194641,19.78292,72.72835, KOLWADE,2,3692
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kondhan,194642,19.75225,72.88715, KONDHAN,2,652
MAHARASHTRA,27, THANE,517, PALGHAR,4596,kore,194643,19.53093,72.73267, KORE,2,1514
