State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,belsara,91253,26.006983,87.202900,Panchayat,2,,9124
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,benga,91284,26.287100,87.505133,Benga,2,,1808
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,bhagwan pur,91163,26.113400,87.524650,panchayat,2,,704
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,bhangahi,91206,26.362417,87.180950,Panchayat,2,,10747
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,bhansia,91164,26.099950,87.528033,panchayat,2,,2211
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,bhirbhiri,91285,26.386717,87.509633,Bhirbhiri,2,,7274
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,bhorha,91254,26.091000,87.262067,Panchayat,2,,5984
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,bhuna majgama,91165,26.013167,87.585900,panchayat,2,,2400
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,bishanpur,91255,26.144650,87.268117,Panchayat,2,,402
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,bistoria,91256,26.135767,87.233917,Panchayat,2,,17647
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,bokantri,91286,26.375567,87.520767,Bokantri,2,,7033
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,bousi,91257,26.008050,87.343717,Panchayat,2,,2856
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,chainpur masuria,91166,26.048517,87.561867,Panchayat,2,,1491
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,chakai,91167,26.089583,87.615317,panchayat,2,,11525
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,chatiauna,91258,26.120417,87.062483,Panchayat,2,,3802
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,chaukata,91168,26.032017,87.606717,panchayat,2,,2059
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,chilhania,91169,26.013767,87.542500,Panchayat,2,,4990
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,chirah,91170,26.095300,87.581217,panchayat,2,,1009
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,dabhara,91171,26.094100,87.664133,panchayat,2,,591
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,dahagama,91287,26.368850,87.572167,Dahagama,2,,3013
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,dargahiganj,91207,26.301617,87.177333,Panchayat,2,,3316
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,dedhua,91288,26.335633,87.540950,Derhua,2,,1660
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,dhama,91259,26.149167,87.389983,Panchayat,2,,2226
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,dhaneshri,91111,25.994633,87.152333,panchayat,2,,325
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,dhobinia,91260,26.008133,87.366933,Panchayat,2,,2505
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,dubba,91172,26.165233,87.548767,panchayat,2,,8029
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,dumaria,91187,26.385117,87.378717,Panchayat,2,,2660
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,farakia,91261,25.973700,87.390217,Panchayat,2,,11823
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,fattehpur,91208,26.269983,87.092767,Panchayat,2,,2539
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,gerki masuria,91173,26.113033,87.551650,Panchayat,2,,3269
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,ghaghri,91262,26.030350,87.400200,Panchayat,2,,2812
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,girda,91174,26.115700,87.614033,panchayat,2,,3714
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,godaraha-vishanpur,91209,26.230267,87.175333,Panchayat,2,,3863
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,gokhula pur,91210,26.247567,87.105517,Panchayat,2,,2285
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,gunwanti,91263,26.067167,87.313683,Panchayat,2,,7518
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,hansa,91264,26.095083,87.299200,Panchayat,2,,10038
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,hardar,91175,26.133133,87.666967,panchayat,2,,2437
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,haripur kala,91112,25.956250,87.163417,panchayat,2,,1024
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,harira,91188,26.369067,87.402000,Panchayat,2,,4400
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,hasanpur,91265,26.089000,87.242650,Panchayat,2,,14671
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,jagir parasi,91189,26.334883,87.336600,Panchayat,2,,2899
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,jainagar,91113,26.168600,87.132017,panchayat,2,,7518
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,kakan,91176,26.148600,87.565750,panchayat,2,,12946
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,kalabalua,91266,25.998767,87.258883,Panchayat,2,,3290
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,kamaldaha,91190,26.325217,87.434817,Panchayat,2,,910
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,kauakoh,91289,26.346017,87.463183,Kauakoh,2,,931
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,kesarara,91177,26.159450,87.685850,panchayat,2,,500
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,khabdah,91211,26.272083,87.175567,Panchayat,2,,9608
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,khaira,91212,26.350350,87.142150,Panchayat,2,,14128
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,khajuri,91114,26.048367,87.116233,panchayat,2,,2366
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,kharhat,91267,26.092833,87.330350,Panchayat,2,,3793
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,kharsahi,91268,26.133283,87.189350,Panchayat,2,,7914
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,khoragachh,91290,26.348533,87.545117,Khoragach,2,,319
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,khutaha baijnathpur,91115,26.043100,87.111117,panchayat,2,,4274
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,koskapur north,91269,26.014817,87.221983,Panchayat,2,,18835
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,koskapur south,91270,25.973400,87.219433,Panchayat,2,,620
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,kuari,91191,26.411000,87.442217,Panchayat,2,,1195
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,kuchaha,91291,26.364333,87.635367,Kuchaha,2,,1524
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,kupari,91271,26.132183,87.322517,Panchayat,2,,3546
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,kursa kanta,91192,26.370667,87.446833,Panchayat,2,,705
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,kursel,91178,26.071283,87.618767,panchayat,2,,3300
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,kusmaul,91116,26.199217,87.135217,panchayat,2,,1491
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,lailokhar,91193,26.412383,87.402167,Panchayat,2,,2414
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,lakshmi pur,91194,26.314433,87.408067,Panchayat,2,,229
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,madhura north,91213,26.341283,87.105783,SamudaikBldg,2,,26588
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,madhura south,91215,26.337267,87.100317,Panchayat,2,,26588
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,madhura west,91214,26.340167,87.102933,Panchayat,2,,2524
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,mahal gaon,91179,26.045117,87.577667,Panchayat,2,,323
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,majarakh,91292,26.424033,87.476517,Majrakh,2,,213
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,majhua (east),91272,25.990850,87.310483,Panchayat,2,,3928
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,majhua (west),91273,26.039767,87.252833,Panchayat,2,,2886
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,manikpur,91216,26.412033,87.126667,Panchayat,2,,1653
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,mannulah patti,91117,26.074200,87.189600,panchayat,2,,17181
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,matiyari,91180,26.110733,87.586133,panchayat,2,,995
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,mirdaul,91217,26.236033,87.110017,Panchayat,2,,11831
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,mirjpur,91274,26.069300,87.381500,Panchayat,2,,1361
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,mohni,91275,26.037300,87.366650,Panchayat,2,,6859
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,murari pur,91293,26.406450,87.549067,Murari Pur,2,,898
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,nandanpur,91276,26.058650,87.395533,Panchayat,2,,1607
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,nathpur,91218,26.326617,87.076350,SamudaikBldg,2,,500
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,nawab ganj,91219,26.395283,87.137467,Panchayat,2,,6825
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,pachhiyari pipra,91181,26.025333,87.614450,panchayat,2,,3566
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,pachira,91277,26.114717,87.284250,Panchayat,2,,1209
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,pahunsra,91278,26.048417,87.291733,Panchayat,2,,4809
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,pahusi,91195,26.402867,87.408833,Panchayat,2,,1696
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,paikapaar,91119,26.085550,87.133533,panchayat,2,,11676
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,palasi,91220,26.295767,87.204683,SamudaikBldg,2,,21121
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,pararia,91294,26.355583,87.571750,Pararia,2,,3297
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,parihari,91279,26.987100,87.181200,Panchayat,2,,6945
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,parmanandpur,91280,26.134300,87.317617,Panchayat,2,,500
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,parsadpur,91182,26.067083,87.536850,Panchayat,2,,1755
BIHAR                                             ,10,ARARIA,209,RANIGANJ                                          ,1631,parshahat,91281,26.026500,87.181183,Panchayat,2,,8080
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,patharabari,91183,26.141433,87.634883,panchayat,2,,2653
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,patharaha,91221,26.447683,87.088667,SamudaikBldg,2,,2340
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,pharahi,91222,26.269383,87.147933,Panchayat,2,,4320
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,pithoura,91223,26.246517,87.088950,Panchayat,2,,9017
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,posdaha,91224,26.343050,87.158517,Panchayat,2,,7923
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,raghunathpur north,91120,26.114350,87.129500,panchayat,2,,17198
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,raghunathpur south,91121,26.088117,87.147000,panchayat,2,,17198
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,rahat mina,91196,26.288767,87.404750,Panchayat,2,,2300
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,ramghat kosakapur,91225,26.289750,87.134700,Panchayat,2,,12149
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,rampuraadi,91122,26.067917,87.149200,panchayat,2,,343
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,rewahi,91226,26.254483,87.213133,SamudaikBldg,2,,6019
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,shankar pur,91123,26.170900,87.155100,panchayat,2,,958
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,shankar pur,91197,26.344417,87.406400,Panchayat,2,,958
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,siktia,91198,26.359633,87.372767,Panchayat,2,,795
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,simarbani,91124,26.194967,87.179250,panchayat,2,,8177
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,simaria,91184,26.147917,87.601367,panchayat,2,,2241
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,sirsia hanumanganj,91125,26.136050,87.133133,panchayat,2,,11198
BIHAR                                             ,10,ARARIA,209,BHARGAMA,1625,sirsia kala,91126,26.127800,87.105083,panchayat,2,,453
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,sisauna,91185,26.144300,87.619667,panchayat,2,,12824
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,sonapur,91227,26.388450,87.202700,Panchayat,2,,2597
BIHAR                                             ,10,ARARIA,209,KURSAKANTA                                        ,1628,sourgaon,91199,26.258833,87.394500,Panchayat,2,,2919
BIHAR                                             ,10,ARARIA,209,NARPATGANJ                                        ,1629,tamganj,91228,26.249600,87.141133,SamudaikBldg,2,,8534
BIHAR                                             ,10,ARARIA,209,JOKIHAT                                           ,1627,taran,91186,26.149650,87.542500,panchayat,2,,10739
BIHAR                                             ,10,ARARIA,209,SIKTY                                             ,1632,thengapur pipara,91295,26.366067,87.478517,Thengapur,2,,432
