1148,"[(19.749604059999999, 77.130492450000006), 21.872, {38: [-55.10428336810139, -23.89571663189861], 44: [-59.85412683001479, -19.145873169985208], 22: [-51.99696626711557, -27.003033732884433], 27: [-54.170699396315385, -24.829300603684615], 28: [-56.05377580549117, -22.94622419450883], 29: [-44.13645223266869, -34.86354776733131]}]"
1149,"[(19.752547610000001, 77.010124660000002), 23.488, {32: [-39.256199846417246, -39.743800153582754], 34: [-52.90247645955505, -26.097523540444953], 35: [-55.00827560577251, -23.99172439422749], 37: [-56.85891511011505, -22.14108488988495], 21: [-54.51576036378427, -24.484239636215733], 23: [-57.81931613634326, -21.18068386365674], 25: [-54.02631488166125, -24.97368511833875], 31: [-59.60584675915962, -19.39415324084038]}]"
1150,"[(19.75485325, 77.296652710000004), 13.504, {26: [-57.809165605729234, -22.190834394270766], 30: [-52.86189255843644, -27.138107441563562]}]"
1151,"[(19.757397409999999, 77.114903369999993), 14.704000000000001, {38: [-54.738338256078194, -25.261661743921806], 39: [-60.571578610324195, -19.428421389675805], 44: [-59.61099831864378, -20.38900168135622], 22: [-57.95271718065371, -22.047282819346293], 27: [-47.48919487260508, -32.51080512739492], 28: [-60.01128106420984, -19.98871893579016], 29: [-47.60172376788738, -32.39827623211262]}]"
1152,"[(19.760320060000002, 77.251150929999994), 8.1280000000000001, {40: [-52.22254633522199, -27.777453664778008], 26: [-51.47017756125388, -28.529822438746123], 30: [-55.666161482531294, -24.333838517468706]}]"
1153,"[(19.760473359999999, 77.196690439999998), 15.904, {33: [-53.44205011285365, -26.55794988714635], 36: [-57.0012493865773, -22.9987506134227], 17: [-59.89181121869366, -20.10818878130634], 18: [-58.724555935866704, -21.275444064133296], 24: [-54.38960221163828, -25.610397788361723], 28: [-59.07438497807314, -20.92561502192686]}]"
1154,"[(19.763287720000001, 77.044960099999997), 22.399999999999999, {32: [-57.989023379555874, -21.010976620444126], 34: [-60.10385483191038, -18.896145168089618], 35: [-52.164920578071886, -26.835079421928114], 39: [-56.675280374371766, -22.324719625628234], 41: [-51.56113861090675, -27.438861389093248], 50: [-59.7472936784698, -19.252706321530198], 23: [-55.29026410111787, -23.70973589888213], 31: [-47.48602560718858, -31.51397439281142]}]"
1155,"[(19.77187004, 77.144136829999994), 25.199999999999999, {38: [-48.73154126087849, -30.268458739121513], 44: [-52.78695112054868, -26.21304887945132], 47: [-58.52102522639723, -20.478974773602772], 51: [-58.70094451598183, -20.29905548401817], 27: [-59.775082884087226, -19.224917115912774], 28: [-55.65138297926519, -23.348617020734807]}]"
1156,"[(19.7748369, 77.287251449999999), 12.992000000000001, {26: [-58.33426702552123, -21.66573297447877], 53: [-60.55721228098321, -19.442787719016792], 30: [-54.53971845223272, -25.46028154776728]}]"
1157,"[(19.777585240000001, 77.239650690000005), 21.344000000000001, {40: [-44.479005649307, -34.520994350693], 26: [-58.68958899771802, -20.31041100228198], 36: [-50.880220928112124, -28.119779071887876], 30: [-60.12619335318578, -18.873806646814216]}]"
