State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ANDHRA PRADESH,28,NIZAMABAD,533,LINGAMPET,5435,S.SANGAREDDY,NZ2081,18.111142,78.133097,S.SANGAREDDY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MACHAREDDY,5436,AKKAPUR,NZ2211,18.40488,78.49186,AKKAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MACHAREDDY,5436,AKKAPUR,NZ2053,18.401947,78.458619,AKKAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MACHAREDDY,5436,RATHNAGIRIPALLY,KA2141,18.39439,78.60566,RATHNAGIRIPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MADNUR,5437,AWALGAON,NZ2012,18.501111,77.630278,AWALGAON,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,AMRAD,NZ2035,18.68195,78.09825,AMRAD,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,AMRAD,NZ2036,18.68841,78.10649,AMRAD,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,AMRAD,NZ2087,18.68326,78.10519,AMRAD,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,AMRAD,NZ2115,18.688357,78.09677,AMRAD,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,AMRAD,NZ2134,18.7369444444,78.1361111111,AMRAD,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,BONKANPALLY,NZ2078,18.748611,78.119444,BONKANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,BONKANPALLY,NZ2144,18.8029,78.063222,BONKANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,BORGAON K,NZ2007,18.67314,78.09441,BORGAON K,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MAKLOOR,5438,BORGAON K,NZ2091,18.6757,78.09788,BORGAON K,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,MORTAD,5439,DOMCHANDA,AD2089,19.01566,78.4673,DOMCHANDA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAGIREDDYPET,5440,ATHMAKUR,NZ2118,18.10333,78.07775,ATHMAKUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAGIREDDYPET,5440,BOLLARAM,NZ2046,18.19233,78.016778,BOLLARAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAGIREDDYPET,5440,CHINNOOR,MD2195,18.08523,78.1781333333,CHINNOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAGIREDDYPET,5440,CHINNOOR,MD2041,18.0415,78.091,CHINNOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NANDIPET,5441,ANNARAM,NZ2071,18.935278,78.186472,ANNARAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAVIPET,5442,ABANGAPATNAM,NZ2198,18.7986,77.9977,ABANGAPATNAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAVIPET,5442,ABANGAPATNAM,NZ2031,18.773917,78.013972,ABANGAPATNAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAVIPET,5442,ABANGAPATNAM,NZ2103,18.700556,78.042917,ABANGAPATNAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAVIPET,5442,KOSLI,AD2011,18.8770253,77.9522139,KOSLI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NAVIPET,5442,YAMCHA,AD2124,18.88246,77.91794,YAMCHA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NIZAMABAD,5443,BORGAON P,NZ2034,18.66679,78.09127,BORGAON P,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NIZAMABAD,5443,BORGAON P,NZ2089,18.65802,78.08411,BORGAON P,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NIZAMABAD,5443,DHARMARAM M,NZ2150,18.615,78.0366666667,DHARMARAM M,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NIZAMSAGAR,5444,ACHAMPET,NZ2032,18.22975,77.935528,ACHAMPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NIZAMSAGAR,5444,AREPALLY,MD2074,18.19206,77.844508,AREPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NIZAMSAGAR,5444,BANJAPALLI,NZ2167,18.2393,77.99403,BANJAPALLI,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,NIZAMSAGAR,5444,MALLUR,NZ2039,18.22694,77.822056,MALLUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,SADASIVANAGAR,5447,ADLOOR-YELLAREDDY,NZ2040,18.406117,78.270833,ADLOOR-YELLAREDDY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,TADWAI,5449,GUNDARAM,NZ2181,18.17116,78.2498,GUNDARAM,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,VARNI,5450,CHANDUR,NZ2143,18.50824,77.97163,CHANDUR,9,12,
